"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20892127, SEN S/N: 20892127)","Intensity, Lux (LGR S/N: 20892127, SEN S/N: 20892127)"
6/4/23 18:00,26.879,5166.7
6/4/23 18:15,28.159,6544.5
6/4/23 18:30,29.252,5511.1
6/4/23 18:45,27.567,5338.9
6/4/23 19:00,26.879,947.2
6/4/23 19:15,24.448,376.7
6/4/23 19:30,23.388,193.8
6/4/23 19:45,22.333,129.2
6/4/23 20:00,22.142,96.9
6/4/23 20:15,22.046,53.8
6/4/23 20:30,21.855,21.5
6/4/23 20:45,21.282,0
6/4/23 21:00,20.805,0
6/4/23 21:15,20.805,0
6/4/23 21:30,20.805,0
6/4/23 21:45,20.71,0
6/4/23 22:00,20.519,0
6/4/23 22:15,20.329,0
6/4/23 22:30,20.234,0
6/4/23 22:45,20.043,0
6/4/23 23:00,19.948,0
6/4/23 23:15,19.853,0
6/4/23 23:30,19.662,0
6/4/23 23:45,19.567,0
6/5/23 0:00,19.472,0
6/5/23 0:15,19.377,0
6/5/23 0:30,19.377,0
6/5/23 0:45,19.187,0
6/5/23 1:00,19.187,0
6/5/23 1:15,19.092,0
6/5/23 1:30,18.996,0
6/5/23 1:45,18.901,0
6/5/23 2:00,18.711,0
6/5/23 2:15,18.521,0
6/5/23 2:30,18.426,0
6/5/23 2:45,18.331,0
6/5/23 3:00,18.331,0
6/5/23 3:15,18.521,0
6/5/23 3:30,18.426,0
6/5/23 3:45,18.14,0
6/5/23 4:00,17.855,0
6/5/23 4:15,17.76,0
6/5/23 4:30,17.665,0
6/5/23 4:45,17.475,0
6/5/23 5:00,17.284,0
6/5/23 5:15,17.189,0
6/5/23 5:30,17.094,0
6/5/23 5:45,16.999,0
6/5/23 6:00,16.903,0
6/5/23 6:15,16.808,10.8
6/5/23 6:30,16.713,118.4
6/5/23 6:45,16.808,850.4
6/5/23 7:00,16.999,1237.9
6/5/23 7:15,17.094,1636.1
6/5/23 7:30,17.665,4133.4
6/5/23 7:45,19.377,7233.4
6/5/23 8:00,19.662,6544.5
6/5/23 8:15,19.853,7233.4
6/5/23 8:30,20.424,4994.5
6/5/23 8:45,20.805,10677.8
6/5/23 9:00,21.091,8266.7
6/5/23 9:15,21.855,11711.2
6/5/23 9:30,21.473,9644.5
6/5/23 9:45,20.71,4822.3
6/5/23 10:00,21.091,5511.1
6/5/23 10:15,20.901,3616.7
6/5/23 10:30,20.805,2669.5
6/5/23 10:45,20.805,3444.5
6/5/23 11:00,21.282,5166.7
6/5/23 11:15,21.76,3961.1
6/5/23 11:30,22.142,7577.8
6/5/23 11:45,23.581,8611.2
6/5/23 12:00,25.028,12400.1
6/5/23 12:15,24.351,6544.5
6/5/23 12:30,24.158,8266.7
6/5/23 12:45,24.062,5511.1
6/5/23 13:00,24.545,8611.2
6/5/23 13:15,24.835,8611.2
6/5/23 13:30,25.222,7233.4
6/5/23 13:45,26,7233.4
6/5/23 14:00,25.708,6200
6/5/23 14:15,26.097,7577.8
6/5/23 14:30,26.683,7233.4
6/5/23 14:45,27.764,10677.8
6/5/23 15:00,27.961,8266.7
6/5/23 15:15,28.159,10677.8
6/5/23 15:30,28.555,4133.4
6/5/23 15:45,28.655,14466.8
6/5/23 16:00,31.778,27555.7
6/5/23 16:15,35.435,28933.5
6/5/23 16:30,36.187,27555.7
6/5/23 16:45,36.079,28933.5
6/5/23 17:00,35.435,13089
6/5/23 17:15,31.778,10677.8
6/5/23 17:30,29.652,5166.7
6/5/23 17:45,28.853,7233.4
6/5/23 18:00,28.655,5338.9
6/5/23 18:15,29.053,3788.9
6/5/23 19:30,27.272,1216.3
6/5/23 19:45,26.683,807.3
6/5/23 20:00,26.39,484.4
6/5/23 20:15,25.902,96.9
6/5/23 20:30,24.931,32.3
6/5/23 20:45,24.641,0
6/5/23 21:00,24.255,0
